f1,f2,f3,f4
0.6851817476,0.7244185812,0.3291656744,0.4874814727
0.9176468008,0.6425752709,0.8931163171,0.74013658
0.6926817302,0.6680527566,0.6612676832,0.7261202781
0.3626093383,0.551500915,0.6717331606,0.5238290852
0.5390421617,0.5220103757,0.5372465032,0.5055302612
0.4670260617,0.4836621692,0.2951394105,0.1914729791
0.6445174446,0.3363108233,0.4787961811,0.6617439207
0.2321490294,#N/A,#N/A,#N/A
0.707629038,0.3796251778,#N/A,0.5931464376
0.8388082275,0.372830608,0.6040470713,0.6581504272
0.3332445339,0.6837535642,0.680368091,0.7560238118
0.5566338726,0.3217380459,0.3729159351,0.2756182534
0.5592975238,0.4240299862,0.3300292232,0.6203137106
0.5270551509,0.622090227,#N/A,#N/A
0.3171487731,0.4271487977,0.1577473635,0.19578499
0.3596151306,#N/A,#N/A,#N/A
0.7358875103,0.2766450476,0.5879056476,#N/A
0.5455561117,#N/A,0.387089122,0.6436554286
0.471420451,0.676826641,0.5509433178,0.6863291228
0.5440844862,0.3232855844,0.673963659,0.6829449
0.6666931796,0.3760339363,0.6405227187,#N/A
0.6718095795,0.540885984,0.2423944517,0.5550939553
0.66019089,0.7024907802,0.7120944046,0.3639832886
0.4045307891,#N/A,0.5997566488,#N/A
0.7006348556,0.3758181232,0.2657926967,0.6613347495
0.2584725488,#N/A,0.4207799276,0.2819547938
0.6126572103,#N/A,#N/A,0.4323977131
0.4834227689,0.6132007214,0.5228233918,0.4849341941
0.6221743837,0.6018754054,0.6686863782,0.5892169202
0.5277758621,0.6225581496,0.6123790905,0.6874950218
0.4985588471,#N/A,#N/A,#N/A
0.2432458382,0.1546550956,#N/A,#N/A
0.7907398182,0.5183389852,0.538894787,#N/A
0.4420299537,0.9678200072,#N/A,#N/A
0.7716484132,0.5967230199,0.769383822,0.8510194294
0.8851747669,0.6230791495,0.7139044106,0.7907444371
0.7092885553,0.5121151003,0.6205868219,0.6107776622
0.2405418143,0.6137855888,0.6961429635,0.4121203681
0.8338625703,0.7172069177,0.5732116729,0.709511049
0.6616654078,#N/A,0.8199511202,0.5068831683
0.5633084577,#N/A,#N/A,#N/A
0.8121107474,#N/A,#N/A,0.7397084682
0.5025695531,0.3858151998,0.2889122679,0.6391016604
0.6198824477,0.6749125437,#N/A,0.8278796931
0.5696385098,#N/A,0.4106727039,0.8882735967
0.7584976381,0.5805862541,0.6068623868,0.6136955155
0.64649553,0.6134767501,0.746127329,0.5970627485
0.6190210567,0.5244230684,0.5492165136,0.4490163468
0.5813434036,0.4854193561,0.4436883538,0.4698821878
0.533014781,0.4149852337,0.6495886048,0.6021377985
0.5391334002,0.8422962755,0.6554634202,0.694273899
0.747100244,0.8282651084,0.5646519927,0.6861607445
0.8717324805,#N/A,#N/A,0.9534717644
0.7822844767,0.5713430978,0.4924974949,0.4369776536
0.6433342065,0.7439495092,0.7385017176,0.4717755177
0.6366102005,0.4024459606,0.7171762142,0.4534420415
0.8312305737,0.56700834,0.6360797004,0.7869302471
0.8495944075,0.539583375,0.7864747951,0.8160009539
0.7363601695,0.6611943487,#N/A,0.6818654069
0.4293037188,#N/A,#N/A,#N/A
0.6263973064,#N/A,0.6022638953,0.4957856144
0.5038884563,0.7849297132,0.2262501173,0.7529107544
0.7378816753,0.6172983696,0.7111181731,0.6241652497
0.3269876381,0.5458658919,0.3424770423,0.6829369704
0.5503562089,#N/A,#N/A,#N/A
0.6529721528,0.7117456802,0.3925433374,#N/A
0.5105177994,#N/A,#N/A,0.7814679091
0.6208587049,#N/A,#N/A,#N/A
0.7938422501,#N/A,#N/A,#N/A
0.7908890185,#N/A,0.2408936377,0.1288017504
0.3797321922,0.5092428104,0.5809920945,0.3489665441
0.6832236679,0.5549699666,0.3994473696,0.484203216
0.9449810974,0.7207800222,0.935990643,0.8696813997
0.2212355254,0.5784683552,0.3006281365,0.1890778611
0.668923227,0.859989958,0.4560628772,0.4653341461
0.7447418692,0.4750901337,0.5536941837,0.6070271831
0.5926997578,#N/A,0.6474428242,0.818154869
0.5383278376,#N/A,#N/A,0.8340833167
0.5831187411,#N/A,0.1493174541,0.6250558221
0.6511354196,#N/A,#N/A,#N/A
0.6953963533,#N/A,#N/A,#N/A
0.9093659104,#N/A,#N/A,#N/A
0.5662749824,0.8107537504,#N/A,#N/A
0.5833201927,0.7022001581,0.477379316,0.6221193668
0.8221312516,0.5287641427,#N/A,#N/A
0.4378708212,0.1717591832,0.3326250044,0.884054448
0.4984207012,#N/A,0.277330088,0.3689074449
0.4195082591,0.3871611796,0.4108023288,0.3545951078
0.7143935236,0.6839792097,#N/A,0.6569581003
0.5731577197,0.6728329126,0.7045892067,0.8333029816
0.4335523747,#N/A,0.8505571081,0.2794922195
0.5472434168,0.1712403599,0.6518463687,0.4634541799
0.5005838218,0.6690493117,0.3372845895,0.9356169329
0.353465895,0.3284531409,0.6370402223,0.5408929033
0.5455964654,#N/A,0.8306978471,0.4234649123
0.7241823378,#N/A,#N/A,#N/A
0.7656451453,0.7274015589,#N/A,0.1367519449
0.4842964239,0.4167391591,0.390379099,0.5744750526
0.4536095805,0.401933181,0.6183833453,#N/A
