# segs,way id,length,length seg,obs f1,obs + interpol f1,AUC,Accidents
26,41954560,1298.372927,1298.372927,468248,1462698,0.6926817302,94
10,152359912,1280.977129,1280.977129,272618,137764,0.7907398182,65
73,230791427,4843.209737,4843.209737,380874,2576438,0.5566338726,57
25,88718922,758.8065336,758.8065336,47654,44176,0.4536095805,54
112,39596696,4915.121278,4915.121278,701461,3785677,0.5277758621,42
92,441111140,4276.513076,4276.513076,469317,3153579,0.5390421617,38
199,250296167,11027.57572,11027.57572,422928,3946215,0.4455115632,35
29,37664009,1300.137276,1300.137276,291103,679963,0.64649553,33
11,436371174,337.9329405,337.9329405,137944,107004,0.7363601695,31
18,247846358,537.7453051,537.7453051,67891,58030,0.3626093383,27
4,37664018,79.04641244,79.04641244,35605,32631,0.5662749824,24
60,111821498,4192.699929,4192.699929,377696,2040835,0.8312305737,23
52,151834852,3993.547231,3993.547231,352873,1917658,0.7092885553,20
192,215107260,11048.8303,11048.8303,412854,3783111,0.4195082591,19
168,26561047,13089.73244,13089.73244,768723,8868817,0.8495944075,17
292,277767745,16249.97835,16249.97835,430709,4069066,0.5310604217,17
12,41958172,179.6816327,179.6816327,109652,47835,0.7378816753,17
91,151705919,4265.844522,4265.844522,367402,2731873,0.471420451,16
18,46766428,598.7063235,598.7063235,87680,85484,0.4335523747,16
171,87028587,13107.83674,13107.83674,722009,9276178,0.6433342065,15
64,277499627,2440.863857,2440.863857,130617,598475,0.7414208389,15
7,28109408,898.7871103,898.7871103,90122,58396,0.2321490294,15
31,98712964,1359.300576,1359.300576,142476,496573,0.747100244,14
294,437907549,16385.61029,16385.61029,512085,4801347,0.7447418692,13
17,302740047,735.1460446,735.1460446,46558,77064,0.7908890185,13
8,254661004,224.8964788,224.8964788,11850,11174,0.3797321922,13
147,315897111,10867.83975,10867.83975,175649,1523835,0.6674514196,12
114,312049503,5087.30601,5087.30601,204326,890953,0.9176468008,10
46,28807991,2175.475206,2175.475206,120379,703384,0.9449810974,10
10,46765758,192.7168017,192.7168017,21264,18971,0.5290131917,10
