way en name,# segs,way id,length,length in segmented (for check),obs f1,obs + interpol f1,AUC,Accidents
North Lantau Highway,171,87028587,13107.83674,13107.83674,722009,9276178,0.6433342065,15
North Lantau Highway,168,26561047,13089.73244,13089.73244,768723,8868817,0.8495944075,17
Tuen Mun Road,294,437907549,16385.61029,16385.61029,512085,4801347,0.7447418692,13
Tuen Mun Road,292,277767745,16249.97835,16249.97835,430709,4069066,0.5310604217,17
Tolo Highway,199,250296167,11027.57572,11027.57572,422928,3946215,0.4455115632,35
Kwun Tong Bypass,112,39596696,4915.121278,4915.121278,701461,3785677,0.5277758621,42
Tolo Highway,192,215107260,11048.8303,11048.8303,412854,3783111,0.4195082591,19
Tsing Kwai Highway,92,441111140,4276.513076,4276.513076,469317,3153579,0.5390421617,38
Tsing Kwai Highway,91,151705919,4265.844522,4265.844522,367402,2731873,0.471420451,16
West Kowloon Highway,73,230791427,4843.209737,4843.209737,380874,2576438,0.5566338726,57
Tsuen Wan Road,60,111821498,4192.699929,4192.699929,377696,2040835,0.8312305737,23
Tsuen Wan Road,52,151834852,3993.547231,3993.547231,352873,1917658,0.7092885553,20
Fanling Highway,147,315897111,10867.83975,10867.83975,175649,1523835,0.6674514196,12
East Kowloon Corridor,26,41954560,1298.372927,1298.372927,468248,1462698,0.6926817302,94
Fanling Highway,151,277509418,10848.08142,10848.08142,157170,1461209,0.5480850076,9
Tate's Cairn Highway,137,28807988,4910.23785,4910.23785,330265,1216443,0.8338625703,2
Tsing Sha Highway,78,151705937,4440.366499,4440.366499,184831,932417,0.4422312463,6
Kwun Tong Bypass,114,312049503,5087.30601,5087.30601,204326,890953,0.9176468008,10
Tsing Ma Bridge,8,384528534,2188.287111,2188.287111,149135,883011,0.2432458382,3
Tsing Ma Bridge,6,87028594,2187.379054,2187.379054,145666,858893,0.6659071503,4
Tsing Sha Highway,88,264140372,4526.909569,4526.909569,175731,850048,0.6310184241,7
Tate's Cairn Highway,142,406940225,5204.375322,5204.375322,158356,794552,0.455891926,5
Tseung Kwan O Tunnel Road,38,302740046,1473.173641,1473.173641,251842,794161,0.4670260617,9
Tai Po Road - Sha Tin,46,28807991,2175.475206,2175.475206,120379,703384,0.9449810974,10
Sha Tin Road,87,45656624,3280.135766,3280.135766,113256,683135,0.5450937918,1
East Kowloon Corridor,29,37664009,1300.137276,1300.137276,291103,679963,0.64649553,33
Yuen Long Highway,184,41178405,9888.009811,9888.009811,75792,623046,0.6558422549,2
Shing Mun Tunnel Road,64,277499627,2440.863857,2440.863857,130617,598475,0.7414208389,15
Yuen Long Highway,173,47071904,10179.26136,10179.26136,65901,560102,0.3814262584,1
Tseung Kwan O Tunnel Road,31,98712964,1359.300576,1359.300576,142476,496573,0.747100244,14
Tsing Long Highway,68,444148920,4708.441113,4708.441113,46267,409940,0,0
Tai Lam Tunnel,94,243929054,5438.935537,5438.935537,58265,401956,0.3533420991,1
San Tin Highway,68,277509427,6202.393162,6202.393162,42817,392992,0.6120280037,4
Cheung Pei Shan Road,48,209559421,2798.597835,2798.597835,97932,381281,0.5545234089,1
Tate's Cairn Tunnel,72,23993375,5212.883567,5212.883567,103506,365499,0.2075151587,4
Sha Tin Road,58,227925607,2232.173012,2232.173012,73379,352826,0.8899310167,1
Cheung Pei Shan Road,49,245408866,2888.599627,2888.599627,71397,352103,0.6616224075,2
San Tin Highway,66,147463801,6165.426254,6165.426254,37412,337683,0,0
Tsing Long Highway,68,32663665,4733.147916,4733.147916,38617,335109,0,0
Kap Shui Mun Bridge,13,26321764,1318.359068,1318.359068,85942,320882,0,0
Shing Mun Tunnel Road,49,277499624,1945.22789,1945.22789,65340,308871,0.5005838218,7
Kap Shui Mun Bridge,13,26561177,1312.83325,1312.83325,84366,303690,0,0
Tsing Sha Highway,28,303635139,1446.828157,1446.828157,71323,286677,0.6279521016,1
Cheung Tsing Highway,32,114437290,1292.215709,1292.215709,87358,254597,0.4378708212,4
Sha Lek Highway,51,45247531,2213.815568,2213.815568,55502,250036,0.2341835605,1
Sha Lek Highway,53,45587476,2280.528368,2280.528368,74523,237592,0.8209078932,2
Tai Po Road - Sha Tin,46,277499628,2170.776073,2170.776073,67776,225732,0.328411753,3
Tate's Cairn Tunnel,68,86041474,5022.317424,5022.317424,244995,225397,0.7073836111,7
Sha Tin Road,34,45247012,1732.892986,1732.892986,74728,207016,0,0
